Seconds	CHNL0_Start	CHNL0_End	CHNL1_Start	CHNL1_End
0.150000	0	3101347	0	1984101
0.300000	0	3103969	0	1985323
0.450000	0	3104089	0	1985603
0.600000	0	3103810	0	1985187
0.750000	0	3103961	0	1985466
0.900000	0	3103738	0	1985523
1.050000	0	3104070	0	1985449
1.200000	0	3103832	0	1985203
1.350000	0	3103853	0	1985357
1.500000	0	3103713	0	1985095
1.650000	0	3103724	0	1985311
1.800000	0	3103980	0	1985165
1.950000	0	3104172	0	1985474
2.100000	0	3104251	0	1985196
2.250000	0	3104225	0	1985585
2.400000	0	3103968	0	1985614
2.550000	0	3104110	0	1985534
2.700000	0	3103802	0	1985174
2.850000	0	3103876	0	1985408
3.000000	0	3103879	0	1985067
3.150000	0	3104016	0	1984954
3.300000	0	3104138	0	1985489
3.450000	0	3103892	0	1985197
3.600000	0	3104046	0	1985221
3.750000	0	3103874	0	1985045
3.900000	0	3103947	0	1985561
4.050000	0	3103972	0	1985283
4.200000	0	3103989	0	1985413
4.350000	0	3104074	0	1985258
4.500000	0	3104169	0	1985374
4.650000	0	3103997	0	1985473
4.800000	0	3104136	0	1985355
4.950000	0	3104043	0	1985309
5.100000	0	3104152	0	1985288
5.250000	0	3104208	0	1985651
5.400000	0	3104295	0	1985422
5.550000	0	3104153	0	1985492
5.700000	0	3103992	0	1985406
5.850000	0	3104266	0	1985448
6.000000	0	3104560	0	1985687
6.150000	0	3104488	0	1985521
6.300000	0	3104253	0	1985466
6.450000	0	3104518	0	1985765
6.600000	0	3104344	0	1985553
6.750000	0	3104460	0	1985681
6.900000	0	3104245	0	1985319
7.050000	0	3104569	0	1985460
7.200000	0	3104413	0	1985806
7.350000	0	3104604	0	1985881
7.500000	0	3104427	0	1985511
7.650000	0	3104546	0	1985581
7.800000	0	3104511	0	1985615
7.950000	0	3104526	0	1985753
8.100000	0	3104559	0	1985822
8.250000	0	3104502	0	1985655
8.400000	0	3104189	0	1985582
8.550000	0	3104550	0	1985544
8.700000	0	3104341	0	1985710
8.850000	0	3104348	0	1985803
9.000000	0	3104356	0	1985646
9.150000	0	3104438	0	1985604
9.300000	0	3104267	0	1985242
9.450000	0	3104258	0	1985498
9.600000	0	3104221	0	1985515
9.750000	0	3104138	0	1985453
9.900000	0	3104007	0	1985379
10.050000	0	3104388	0	1985333
10.200000	0	3104392	0	1985695
10.350000	0	3104127	0	1985435
10.500000	0	3104110	0	1985460
10.650000	0	3104390	0	1985647
10.800000	0	3104531	0	1985815
10.950000	0	3104603	0	1985544
11.100000	0	3104581	0	1985583
11.250000	0	3104655	0	1985757
11.400000	0	3104591	0	1985755
11.550000	0	3104591	0	1985733
11.700000	0	3104477	0	1985515
11.850000	0	3104432	0	1985871
12.000000	0	3104320	0	1985581
12.150000	0	3104364	0	1985560
12.300000	0	3104491	0	1985690
12.450000	0	3104632	0	1985604
12.600000	0	3104515	0	1985710
12.750000	0	3104304	0	1985348
12.900000	0	3104453	0	1985613
13.050000	0	3104071	0	1985520
13.200000	0	3104004	0	1985407
13.350000	0	3104127	0	1985453
13.500000	0	3104126	0	1985528
13.650000	0	3104244	0	1985377
13.800000	0	3104002	0	1985304
13.950000	0	3104150	0	1985281
14.100000	0	3104232	0	1985499
14.250000	0	3104043	0	1985564
14.400000	0	3104097	0	1985375
14.550000	0	3104258	0	1985538
14.700000	0	3104256	0	1985498
14.850000	0	3104357	0	1985424
15.000000	0	3104217	0	1985505
15.150000	0	3104408	0	1985648
15.300000	0	3104415	0	1985400
15.450000	0	3104225	0	1985461
15.600000	0	3103990	0	1985303
15.750000	0	3103919	0	1984883
15.900000	0	3103891	0	1985253
16.050000	0	3103877	0	1985351
16.200000	0	3104020	0	1985421
16.350000	0	3104074	0	1985481
16.500000	0	3103914	0	1985317
16.650000	0	3104156	0	1985382
16.800000	0	3104292	0	1985792
16.950000	0	3104457	0	1985723
17.100000	0	3104761	0	1985701
17.250000	0	3104807	0	1985866
17.400000	0	3104916	0	1985663
17.550000	0	3104789	0	1985787
17.700000	0	3105068	0	1986133
17.850000	0	3104970	0	1985767
18.000000	0	3105096	0	1985976
18.150000	0	3105165	0	1986183
18.300000	0	3105222	0	1986020
18.450000	0	3105605	0	1986321
18.600000	0	3105405	0	1986489
18.750000	0	3105350	0	1986065
18.900000	0	3105315	0	1986303
19.050000	0	3105262	0	1985896
19.200000	0	3105228	0	1986129
19.350000	0	3105163	0	1986275
19.500000	0	3105435	0	1986151
19.650000	0	3105160	0	1985923
19.800000	0	3105085	0	1986203
19.950000	0	3105140	0	1986396
20.100000	0	3105049	0	1985975
20.250000	0	3105383	0	1986197
20.400000	0	3105340	0	1985965
20.550000	0	3105141	0	1986019
20.700000	0	3105161	0	1986084
20.850000	0	3105413	0	1986243
21.000000	0	3105455	0	1986192
21.150000	0	3105314	0	1986254
21.300000	0	3105350	0	1986103
21.450000	0	3104953	0	1986110
21.600000	0	3105116	0	1985876
21.750000	0	3105071	0	1985932
21.900000	0	3105206	0	1986014
22.050000	0	3105028	0	1985863
22.200000	0	3105038	0	1985703
22.350000	0	3104942	0	1985978
22.500000	0	3104911	0	1985854
22.650000	0	3104793	0	1985854
22.800000	0	3105025	0	1986156
22.950000	0	3105091	0	1985939
23.100000	0	3105206	0	1986052
23.250000	0	3105055	0	1986014
23.400000	0	3105186	0	1986264
23.550000	0	3105290	0	1986170
23.700000	0	3105414	0	1986468
23.850000	0	3105417	0	1986033
24.000000	0	3105298	0	1986309
24.150000	0	3105520	0	1986376
24.300000	0	3105657	0	1986321
24.450000	0	3105829	0	1986574
24.600000	0	3105773	0	1986807
24.750000	0	3105938	0	1986508
24.900000	0	3106079	0	1986494
25.050000	0	3106319	0	1986940
25.200000	0	3106531	0	1986751
25.350000	0	3106398	0	1986684
25.500000	0	3106293	0	1986724
25.650000	0	3106326	0	1986786
25.800000	0	3106029	0	1986790
25.950000	0	3106445	0	1986864
26.100000	0	3105912	0	1986756
26.250000	0	3105863	0	1986594
26.400000	0	3105727	0	1986323
26.550000	0	3105759	0	1986350
26.700000	0	3105548	0	1986435
26.850000	0	3105765	0	1986392
27.000000	0	3105774	0	1986250
27.150000	0	3105598	0	1986474
27.300000	0	3105820	0	1986406
27.450000	0	3105869	0	1986490
27.600000	0	3105711	0	1986465
27.750000	0	3105731	0	1986343
27.900000	0	3105626	0	1986438
28.050000	0	3105689	0	1986502
28.200000	0	3105703	0	1986473
28.350000	0	3105812	0	1986759
28.500000	0	3105787	0	1986432
28.650000	0	3105590	0	1986366
28.800000	0	3105418	0	1986268
28.950000	0	3105636	0	1986223
29.100000	0	3105544	0	1986241
29.250000	0	3105430	0	1986445
29.400000	0	3105575	0	1986460
29.550000	0	3105774	0	1986392
29.700000	0	3105640	0	1986114
29.850000	0	3105751	0	1986531
30.000000	0	3105493	0	1986506
30.150000	0	3105545	0	1986279
30.300000	0	3105390	0	1985994
30.450000	0	3105379	0	1985988
30.600000	0	3105355	0	1986081
30.750000	0	3105377	0	1986467
30.900000	0	3105477	0	1986189
31.050000	0	3105306	0	1985879
31.200000	0	3105130	0	1986078
31.350000	0	3105337	0	1986204
31.500000	0	3105272	0	1986098
31.650000	0	3105509	0	1986149
31.800000	0	3105431	0	1986159
31.950000	0	3105174	0	1986186
32.100000	0	3105326	0	1985982
32.250000	0	3105209	0	1986102
32.400000	0	3105293	0	1986136
32.550000	0	3105203	0	1986076
32.700000	0	3105049	0	1986333
32.850000	0	3105085	0	1985867
33.000000	0	3105156	0	1985883
33.150000	0	3105065	0	1986242
33.300000	0	3105131	0	1986073
33.450000	0	3105081	0	1986011
33.600000	0	3105043	0	1985988
33.750000	0	3104615	0	1985947
33.900000	0	3104820	0	1986070
34.050000	0	3104851	0	1985863
34.200000	0	3104597	0	1985909
34.350000	0	3104738	0	1985808
34.500000	0	3104698	0	1985798
34.650000	0	3104845	0	1985745
34.800000	0	3104668	0	1985711
34.950000	0	3104769	0	1985859
35.100000	0	3104600	0	1985900
35.250000	0	3104879	0	1985838
35.400000	0	3104745	0	1986033
35.550000	0	3104610	0	1986083
35.700000	0	3104632	0	1985778
35.850000	0	3104544	0	1985756
36.000000	0	3104730	0	1985512
36.150000	0	3104414	0	1985623
36.300000	0	3104469	0	1985654
36.450000	0	3104426	0	1985515
36.600000	0	3104449	0	1985589
36.750000	0	3104550	0	1985698
36.900000	0	3104429	0	1985704
37.050000	0	3104481	0	1985703
37.200000	0	3104402	0	1985378
37.350000	0	3104308	0	1985505
37.500000	0	3104378	0	1985540
37.650000	0	3104359	0	1985448
37.800000	0	3104466	0	1985495
37.950000	0	3104413	0	1985495
38.100000	0	3104282	0	1985441
38.250000	0	3104180	0	1985419
38.400000	0	3104236	0	1985477
38.550000	0	3104206	0	1985430
38.700000	0	3104182	0	1985490
38.850000	0	3104090	0	1985218
39.000000	0	3104285	0	1985267
39.150000	0	3104074	0	1985557
39.300000	0	3104239	0	1985494
39.450000	0	3104248	0	1985466
39.600000	0	3104304	0	1985628
39.750000	0	3104302	0	1985497
39.900000	0	3104085	0	1985323
40.050000	0	3104244	0	1985800
40.200000	0	3104119	0	1985404
40.350000	0	3104219	0	1985544
40.500000	0	3104202	0	1985573
40.650000	0	3104379	0	1985592
40.800000	0	3104183	0	1985712
40.950000	0	3103971	0	1985679
41.100000	0	3103894	0	1985410
41.250000	0	3104068	0	1985433
41.400000	0	3104193	0	1985354
41.550000	0	3104012	0	1985451
41.700000	0	3104156	0	1985445
41.850000	0	3104167	0	1985409
42.000000	0	3104087	0	1985343
42.150000	0	3104058	0	1985470
42.300000	0	3104106	0	1985125
42.450000	0	3104175	0	1985535
42.600000	0	3103906	0	1985221
42.750000	0	3103996	0	1985369
